Citation,Manner,Cleaned_Citation,Stemmed_tokens,Tokenized_Citation,Stemmed_tokens2,Stemmed_tokenss
يستحق الناس الرحمة، مثلما يستحقون العقاب، فما من لونٍ أسود إلا ويقابله لونٌ أبيض,Good Moral: الرحمة,"['يستحق', 'الناس', 'الرحمة', 'مثلما', 'يستحقون', 'العقاب', 'فما', 'لون', 'أسود', 'يقابله', 'لون', 'أبيض']",ستحق ناس رحم مثلما ستحق عقاب فم لون أسود قابل لون أبيض,"['ستحق', 'ناس', 'رحم', 'مثلما', 'ستحق', 'عقاب', 'فم', 'لون', 'أسود', 'قابل', 'لون', 'أبيض']","['حِقّ', 'ناس', 'رَحِم', 'مِثْلَما', 'حِقّ', 'عُقاب', 'فَم', 'لَوْن', 'أَسْوَد', 'قابِل', 'لَوْن', 'أَبْيَض']",حِقّ ناس رَحِم مِثْلَما حِقّ عُقاب فَم لَوْن أَسْوَد قابِل لَوْن أَبْيَض
لا أجمل من الرفق والرحمة تسكن قلوب البشر مع كل مخلوقات الله,Good Moral: الرحمة,"['أجمل', 'الرفق', 'الرحمة', 'تسكن', 'قلوب', 'البشر', 'مخلوقات', 'الله']",أجمل رفق رحم سك قلوب بشر مخلوق الله,"['أجمل', 'رفق', 'رحم', 'سك', 'قلوب', 'بشر', 'مخلوق', 'الله']","['أَجْمَل', 'رَفِق', 'رَحِم', 'سُكّ', 'قُلُوب', 'بَشَر', 'مَخْلُوق', 'اللّٰه']",أَجْمَل رَفِق رَحِم سُكّ قُلُوب بَشَر مَخْلُوق اللّٰه
تراحموا فالراحمون يرحمهم الخالق عز وجل,Good Moral: عِزّ,"['تراحموا', 'فالراحمون', 'يرحمهم', 'الخالق', 'عز', 'جل']",تراحم فالراحمون رحم خالق عز جل,"['تراحم', 'فالراحمون', 'رحم', 'خالق', 'عز', 'جل']","['تَراحَم', 'فالراحمون', 'رَحِم', 'خالِق', 'عِزّ', 'جَلّ']",تَراحَم فالراحمون رَحِم خالِق عِزّ جَلّ
الرحمة تأتي دون مقابل فهي تسكن القلب المعطاء,Good Moral: الرحمة,"['الرحمة', 'تأتي', 'مقابل', 'فهي', 'تسكن', 'القلب', 'المعطاا']",رحم تأتى مقابل هي سك قلب المعطاا,"['رحم', 'تأتى', 'مقابل', 'هي', 'سك', 'قلب', 'المعطاا']","['رَحِم', 'تَأَتَّى', 'مُقابِل', 'هِيَ', 'سُكّ', 'قَلَّب', 'المعطاا']",رَحِم تَأَتَّى مُقابِل هِيَ سُكّ قَلَّب المعطاا
من أوجه الرحمة العطف على الصغير,Good Moral: الرحمة,"['أوجه', 'الرحمة', 'العطف', 'الصغير']",أوج رحم عطف صغير,"['أوج', 'رحم', 'عطف', 'صغير']","['أَوْج', 'رَحِم', 'عُطُف', 'صَغِير']",أَوْج رَحِم عُطُف صَغِير
قال الله تعالى ورحمتي وسعت كل شيء، ماذا عن رحمتك أيها الإنسان؟!,Good Moral: رَحْم,"['قال', 'الله', 'تعالى', 'رحمتي', 'سعت', 'شيا', 'رحمتك', 'الإنسان']",قال الله تعال رحم سع شي رحم إنسان,"['قال', 'الله', 'تعال', 'رحم', 'سع', 'شي', 'رحم', 'إنسان']","['قال', 'اللّٰه', 'عال', 'رَحِم', 'سع', 'شَيّ', 'رَحِم', 'أَنْسَأ']",قال اللّٰه عال رَحِم سع شَيّ رَحِم أَنْسَأ
فن التراحم في أن لا تسيء إلى من أساء إليك وتعفو وتصفح,Sentiment: positive,"['فن', 'التراحم', 'تسيا', 'أساا', 'تعفو', 'تصفح']",فن التراحم تسيا أساا عفو تصفح,"['فن', 'التراحم', 'تسيا', 'أساا', 'عفو', 'تصفح']","['فَنّ', 'التراحم', 'تسيا', 'أساا', 'عَفْو', 'تَصَفَّح']",فَنّ التراحم تسيا أساا عَفْو تَصَفَّح
صلوا أرحامكم فالله يحب الوصل بين الأحباب ويحب الرحمة,Good Moral: الرحمة,"['صلوا', 'أرحامكم', 'فالله', 'يحب', 'الوصل', 'الأحباب', 'يحب', 'الرحمة']",صل أرحام الله حب وصل أحباب حب رحم,"['صل', 'أرحام', 'الله', 'حب', 'وصل', 'أحباب', 'حب', 'رحم']","['صل', 'أَرْحام', 'اللّٰه', 'حُبّ', 'وَصْل', 'أَحْباب', 'حُبّ', 'رَحِم']",صل أَرْحام اللّٰه حُبّ وَصْل أَحْباب حُبّ رَحِم
يحب الله عباده الرحماء,Sentiment: positive,"['يحب', 'الله', 'عباده', 'الرحماا']",حب الله عباد الرحماا,"['حب', 'الله', 'عباد', 'الرحماا']","['حُبّ', 'اللّٰه', 'عَبّاد', 'الرحماا']",حُبّ اللّٰه عَبّاد الرحماا
يجب أن يكون التراحم شاملاً البشر والحيوان والشجر والحجر وكل ما خلق الله على سطح الكوكب,Sentiment: positive,"['يجب', 'يكون', 'التراحم', 'شاملا', 'البشر', 'الحيوان', 'الشجر', 'الحجر', 'خلق', 'الله', 'سطح', 'الكوكب']",جب يكون التراحم شامل بشر حيوان شجر حجر خلق الله سطح كوكب,"['جب', 'يكون', 'التراحم', 'شامل', 'بشر', 'حيوان', 'شجر', 'حجر', 'خلق', 'الله', 'سطح', 'كوكب']","['جُبّ', 'يَكُون', 'التراحم', 'شامِل', 'بَشَر', 'حَيَوان', 'شَجِر', 'حَجَّر', 'خَلَّق', 'اللّٰه', 'سَطَح', 'كَوْكَب']",جُبّ يَكُون التراحم شامِل بَشَر حَيَوان شَجِر حَجَّر خَلَّق اللّٰه سَطَح كَوْكَب
لو رحم كل إنسانٍ أخيه الإنسان لما بقي في هذه الدنيا شيءٌ من الظلم,Blameworthy Moral: ظُلْم,"['رحم', 'إنسان', 'أخيه', 'الإنسان', 'بقي', 'الدنيا', 'شيا', 'الظلم']",رحم أنسأ آخي إنسان بق دنيا شي ظلم,"['رحم', 'أنسأ', 'آخي', 'إنسان', 'بق', 'دنيا', 'شي', 'ظلم']","['رَحِم', 'آنَس', 'أَخِي', 'أَنْسَأ', 'بَقّ', 'دَنَّي', 'شَيّ', 'ظُلْم']",رَحِم آنَس أَخِي أَنْسَأ بَقّ دَنَّي شَيّ ظُلْم
لا تدق عند حاجتك إلا على باب كريم، فإن بقلبه ما يكفي من الرحمة كي لا يردك خائباً,Good Moral: الرحمة,"['تدق', 'حاجتك', 'باب', 'كريم', 'بقلبه', 'يكفي', 'الرحمة', 'يردك', 'خائبا']",دق حاج باب كريم قلب كفي رحم رد خائب,"['دق', 'حاج', 'باب', 'كريم', 'قلب', 'كفي', 'رحم', 'رد', 'خائب']","['دَقّ', 'حاجّ', 'باب', 'كرِيم', 'قَلَّب', 'كَفّ', 'رَحِم', 'رَدّ', 'خائِب']",دَقّ حاجّ باب كرِيم قَلَّب كَفّ رَحِم رَدّ خائِب
الرحمة لا تشتري، سبحان من زرعها بقلب من اصطفاه لقربه ولجنات النعيم,Good Moral: الرحمة,"['الرحمة', 'تشتري', 'زرعها', 'بقلب', 'اصطفاه', 'لقربه', 'لجنات', 'النعيم']",رحم شتر زرع قلب ٱصطف قرب لجن نعيم,"['رحم', 'شتر', 'زرع', 'قلب', 'ٱصطف', 'قرب', 'لجن', 'نعيم']","['رَحِم', 'شَتَر', 'زَرَع', 'قَلَّب', 'ٱِصْطَفّ', 'قَرَّب', 'لَجِن', 'نَعِيم']",رَحِم شَتَر زَرَع قَلَّب ٱِصْطَفّ قَرَّب لَجِن نَعِيم
واجب الإنسان على أخيه الإنسان أن يكون رحيماً معه,Sentiment: positive,"['اجب', 'الإنسان', 'أخيه', 'الإنسان', 'يكون', 'رحيما', 'معه']",جب إنسان آخي إنسان يكون رحيم مع,"['جب', 'إنسان', 'آخي', 'إنسان', 'يكون', 'رحيم', 'مع']","['جُبّ', 'أَنْسَأ', 'أَخِي', 'أَنْسَأ', 'يَكُون', 'رَحِيم', 'مَعَ']",جُبّ أَنْسَأ أَخِي أَنْسَأ يَكُون رَحِيم مَعَ
رحمتك بين الناس وللناس توصلك للسلام الداخلي,Good Moral: رَحْم,"['رحمتك', 'الناس', 'للناس', 'توصلك', 'للسلام', 'الداخلي']",رحم ناس ناس توصل سلام داخلي,"['رحم', 'ناس', 'ناس', 'توصل', 'سلام', 'داخلي']","['رَحِم', 'ناس', 'ناس', 'تَوَصُّل', 'سَلّام', 'داخِل']",رَحِم ناس ناس تَوَصُّل سَلّام داخِل
رحمةُ الأب لزوجته وأبنائه، ورحمةُ المعلمة لطلابها، ورفق المدير مع موظفيه، كلها أشكالٌ من الرحمات علينا أن نتبعها دوماً,Good Moral: رَحْم,"['رحمة', 'الأب', 'لزوجته', 'أبنائه', 'رحمة', 'المعلمة', 'لطلابها', 'رفق', 'المدير', 'موظفيه', 'كلها', 'أشكال', 'الرحمات', 'علينا', 'نتبعها', 'دوما']",رحم أب لزوج أبنائ رحم معلم طلاب رفق مدير موظف كل إشكال الرحمات علي تبع دوم,"['رحم', 'أب', 'لزوج', 'أبنائ', 'رحم', 'معلم', 'طلاب', 'رفق', 'مدير', 'موظف', 'كل', 'إشكال', 'الرحمات', 'علي', 'تبع', 'دوم']","['رَحِم', 'آب', 'زَوَّج', 'أبنائ', 'رَحِم', 'مَعْلَم', 'طُلّاب', 'رَفِق', 'مُدِير', 'مُوَظَّف', 'كُلّ', 'إِشْكال', 'الرحمات', 'عَلِيّ', 'تَبَع', 'دَوْم']",رَحِم آب زَوَّج أبنائ رَحِم مَعْلَم طُلّاب رَفِق مُدِير مُوَظَّف كُلّ إِشْكال الرحمات عَلِيّ تَبَع دَوْم
أيها الناس ابتعدوا عن القاسية قلوبهم، فالحياة فيها من المتاعب ما يكفي,Sentiment: neutral,"['الناس', 'ابتعدوا', 'القاسية', 'قلوبهم', 'فالحياة', 'المتاعب', 'يكفي']",ناس ٱبتعد قاسي قلوب ألحي متاعب كفي,"['ناس', 'ٱبتعد', 'قاسي', 'قلوب', 'ألحي', 'متاعب', 'كفي']","['ناس', 'ٱِبْتَعَد', 'قاس', 'قُلُوب', 'أَلْحَى', 'مَتاعِب', 'كَفّ']",ناس ٱِبْتَعَد قاس قُلُوب أَلْحَى مَتاعِب كَفّ
عزة النفس أن تسمو وتبتعد عن كل من يقلل من قيمتك,Good Moral: عِزّ,"['عزة', 'النفس', 'تسمو', 'تبتعد', 'يقلل', 'قيمتك']",عز نفس سمو بتعد قلل قيم,"['عز', 'نفس', 'سمو', 'بتعد', 'قلل', 'قيم']","['عِزّ', 'نَفَس', 'سُمُوّ', 'تَعَدّ', 'قُلَل', 'قَيِّم']",عِزّ نَفَس سُمُوّ تَعَدّ قُلَل قَيِّم
أعشق في نفسي العناد لأني لم أخلق لأركع إلا لربع العباد,Sentiment: negative,"['أعشق', 'نفسي', 'العناد', 'لأني', 'أخلق', 'لأركع', 'لربع', 'العباد']",عشق نفس عناد لأن أخلق أركع ربع عباد,"['عشق', 'نفس', 'عناد', 'لأن', 'أخلق', 'أركع', 'ربع', 'عباد']","['عِشْق', 'نَفَس', 'عِناد', 'لِأَن', 'أَخْلَق', 'أَرْكَع', 'رَبْع', 'عَبّاد']",عِشْق نَفَس عِناد لِأَن أَخْلَق أَرْكَع رَبْع عَبّاد
عزة النفس نقطة انتهى عندها ألف صديق وألف حبيب,Good Moral: عِزّ,"['عزة', 'النفس', 'نقطة', 'انتهى', 'عندها', 'صديق']",عز نفس نقط ٱنتهى عند صديق,"['عز', 'نفس', 'نقط', 'ٱنتهى', 'عند', 'صديق']","['عِزّ', 'نَفَس', 'نَقَّط', 'ٱِنْتَهَى', 'عِنْدَ', 'صِدِّيق']",عِزّ نَفَس نَقَّط ٱِنْتَهَى عِنْدَ صِدِّيق
عزة النفس تشعرنا بالاكتفاء رغم الحاجة,Good Moral: عِزّ,"['عزة', 'النفس', 'تشعرنا', 'بالاكتفاا', 'رغم', 'الحاجة']",عز نفس شعر بالاكتفاا رغم حاج,"['عز', 'نفس', 'شعر', 'بالاكتفاا', 'رغم', 'حاج']","['عِزّ', 'نَفَس', 'شَعَر', 'بالاكتفاا', 'رَغْمَ', 'حاجّ']",عِزّ نَفَس شَعَر بالاكتفاا رَغْمَ حاجّ
على سبيل الكرامة لا تجبر نفسك على أحد ولا تجبر أحداً عليك,Sentiment: positive,"['سبيل', 'الكرامة', 'تجبر', 'نفسك', 'تجبر', 'أحدا']",سبيل كرام تجبر نفس تجبر أحد,"['سبيل', 'كرام', 'تجبر', 'نفس', 'تجبر', 'أحد']","['سَبِيل', 'كِرام', 'تَجَبَّر', 'نَفَس', 'تَجَبَّر', 'أَحَّد']",سَبِيل كِرام تَجَبَّر نَفَس تَجَبَّر أَحَّد
عزة النفس هي أن تتقمص دور المكتفي بأي شيء وأنت في أمس الحاجة لكل شيء,Good Moral: عِزّ,"['عزة', 'النفس', 'تتقمص', 'دور', 'المكتفي', 'بأي', 'شيا', 'الحاجة', 'لكل', 'شيا']",عز نفس تقمص دور مكتفي باي شي حاج كل شي,"['عز', 'نفس', 'تقمص', 'دور', 'مكتفي', 'باي', 'شي', 'حاج', 'كل', 'شي']","['عِزّ', 'نَفَس', 'تَقَمُّص', 'دَوْر', 'مُكْتَف', 'باي', 'شَيّ', 'حاجّ', 'كُلّ', 'شَيّ']",عِزّ نَفَس تَقَمُّص دَوْر مُكْتَف باي شَيّ حاجّ كُلّ شَيّ
عزة النفس هي أن أضحك أمامك وفي داخلي جحيم مشتعل,Good Moral: عِزّ,"['عزة', 'النفس', 'أضحك', 'داخلي', 'جحيم', 'مشتعل']",عز نفس أضحك داخل جحيم مشتعل,"['عز', 'نفس', 'أضحك', 'داخل', 'جحيم', 'مشتعل']","['عِزّ', 'نَفَس', 'أَضْحَك', 'داخِلَ', 'جَحِيم', 'مُشْتَعِل']",عِزّ نَفَس أَضْحَك داخِلَ جَحِيم مُشْتَعِل
الحب جميل لكن عزة النفس أجمل بكثير,Good Moral: عِزّ,"['الحب', 'جميل', 'عزة', 'النفس', 'أجمل', 'بكثير']",حب جميل عز نفس أجمل كثير,"['حب', 'جميل', 'عز', 'نفس', 'أجمل', 'كثير']","['حُبّ', 'جَمِيل', 'عِزّ', 'نَفَس', 'أَجْمَل', 'كَثِير']",حُبّ جَمِيل عِزّ نَفَس أَجْمَل كَثِير
الشوق شيء وعزة النفس أشياء,Good Moral: عِزّ,"['الشوق', 'شيا', 'عزة', 'النفس', 'أشياا']",شوق شي عز نفس أشياا,"['شوق', 'شي', 'عز', 'نفس', 'أشياا']","['شَوَّق', 'شَيّ', 'عِزّ', 'نَفَس', 'أشياا']",شَوَّق شَيّ عِزّ نَفَس أشياا
خذ من الصقر ثلاثاً بعد النظر وعزة النفس والحرية,Good Moral: عِزّ,"['خذ', 'الصقر', 'ثلاثا', 'النظر', 'عزة', 'النفس', 'الحرية']",خذ صقر ثلاث نظر عز نفس حري,"['خذ', 'صقر', 'ثلاث', 'نظر', 'عز', 'نفس', 'حري']","['خُذ', 'صَقْر', 'ثَلاث', 'نَظَر', 'عِزّ', 'نَفَس', 'حُرّ']",خُذ صَقْر ثَلاث نَظَر عِزّ نَفَس حُرّ
"إن كان عزة النفس في عينك غروراً, خذها أنا مغرور من ساسي لرأسي",Good Moral: عِزّ,"['عزة', 'النفس', 'عينك', 'غرورا', 'خذها', 'مغرور', 'ساسي', 'لرأسي']",عز نفس عين غرور خذ مغرور ساسي راس,"['عز', 'نفس', 'عين', 'غرور', 'خذ', 'مغرور', 'ساسي', 'راس']","['عِزّ', 'نَفَس', 'عَيْن', 'غُرُور', 'خُذ', 'مَغْرُور', 'ساسي', 'راس']",عِزّ نَفَس عَيْن غُرُور خُذ مَغْرُور ساسي راس
عزة النفس ليست لسانا ساخرا وطبعا متكبرا عزة النفس هي أن تبتعد عن كل ما يقلل من قيمتك,Good Moral: عِزّ,"['عزة', 'النفس', 'لسانا', 'ساخرا', 'طبعا', 'متكبرا', 'عزة', 'النفس', 'تبتعد', 'يقلل', 'قيمتك']",عز نفس لسان ساخر طبع متكبر عز نفس بتعد قلل قيم,"['عز', 'نفس', 'لسان', 'ساخر', 'طبع', 'متكبر', 'عز', 'نفس', 'بتعد', 'قلل', 'قيم']","['عِزّ', 'نَفَس', 'لِسان', 'ساخِر', 'طَبْع', 'مُتَكَبِّر', 'عِزّ', 'نَفَس', 'تَعَدّ', 'قُلَل', 'قَيِّم']",عِزّ نَفَس لِسان ساخِر طَبْع مُتَكَبِّر عِزّ نَفَس تَعَدّ قُلَل قَيِّم
جميلة هي عزة النفس تشعرنا بالاكتفاء رغم الحاجة,Good Moral: عِزّ,"['جميلة', 'عزة', 'النفس', 'تشعرنا', 'بالاكتفاا', 'رغم', 'الحاجة']",جميل عز نفس شعر بالاكتفاا رغم حاج,"['جميل', 'عز', 'نفس', 'شعر', 'بالاكتفاا', 'رغم', 'حاج']","['جَمِيل', 'عِزّ', 'نَفَس', 'شَعَر', 'بالاكتفاا', 'رَغْمَ', 'حاجّ']",جَمِيل عِزّ نَفَس شَعَر بالاكتفاا رَغْمَ حاجّ
